id,nom,ville,page,code_postal
95,CENTRE SOCIAL MAISON DE LA CHALLE, Éragny,2,95610 
96,CENTRE SOCIAL ODETTE BRACHET, Morestel,2,38510 
97,Centre Socioculturel  LES PORTES DU MIDI  - VITRY, Vitry,2,94400 
98,Centre socioculturel CLARA ZETKIN, Villetaneuse,2,93430 
99,CS JACQUES MELI, Martigues,2,13500 
100,Le QUAI-Centre social et Culturel du Sablon, Metz,2,57000 
101,MAISON POUR TOUS, Lillers,2,62190 
102,MJC CLUB DE CRETEIL  CROIX DES MECHES, Créteil,2,94000 
103,C S C DE L ESTEY, Bègles,2,33130 
105,CENTRE SOCIAL  SAINT-ELOI/BEAUREGARD, Rochelle,2,17000 
107,CENTRE SOCIAL ET CULTUREL CAP GENERATIONS, Châtillon,2,69380 
108,LARC Ensemble, Villeneuve,2,59650 
110,CS LES FLORALIES, Marly,2,59770 
111,Centre Social Marcel Bertrand, Lille,2,59000 
113,CS ROUGEMONT, Sevran,2,93270 
114,CENTRE SOCIAL DE MERVILLE, Merville,2,59660 
117,CENTRE SOCIAL  MAIMAT, Muret,2,31600 
118,CENTRE SOCIAL REVIVRE, Vans,2,07140 
119,CENTRE SOCIOCULTUREL LA PINÈDE, Villeneuve,2,07170 
120,CENTRE SOCIO-CULTUREL CLEFS (culture loisirs enfance famille solidarité), Teil,2,07400 
121,Centre Social de l'Ile du Battoir, Beaurepaire,2,38270 
123,CENTRE SOCIAL DES HAUTS DE CERGY, Cergy,3,95800 
124,MQ CLAGNY GLATIGNY, Versailles,3,78000 
125,Centre social et culturel REISSA, Assier,3,46320 
126,CENTRE SOCIAL LA BRIQUETTE, Marly,3,59770 
127,CENTRE SOCIAL SARCELLES LOCHERES, Sarcelles,3,95200 
128,MJC-AVS SAINT LYS, Saint,3,31470 
129,CENTRE SOCIAL MUNICIPAL LOUIS BRAILLE, Meaux,3,77100 
130,CS LA MAISON DE FLANDRE, Steenvoorde,3,59114 
131,CENTRE SOCIOCULTUREL L'OLIVIER, Saint,3,69800 
132,CENTRE SOCIAL SOLEIL BLAISE, PARIS 20EME ARRONDISSEMENT,3,75020 
133,MJC/MPT/Centre Social de Kerfeunteun, Quimper,3,29000 
134,MAISON PASTEUR, ,3,59640 
