Libelle1;Libelle2;Localisation;voie;CP;CEDEXB;Ville;DEPT;INSEE;coordonnees_ban;coordonnees_insee;coordonnees_finales;code_bib;code_ua;Code region;Statut;surface;type_adresse;amplitude_horaire;pop_com
Bibliotheque Municipale;;;8 Rue Généra;22680;;Binic - Etables-sur-Mer;22;22055;48.608531, -2.829166;48.6255350477, -2.8413899481;48.608531,-2.829166;789.0;789.0;53;Bibliothèque municipale;100.0;Bibliothèque ouverte au public;7.5;7087.0
Bibliothèque De Le Foeil;;;Rue de l'Ecole;22800;;Le Foeil;22;22059;48.428394, -2.914128;48.4178424268, -2.91449094191;48.428394,-2.914128;6887.0;6887.0;53;Bibliothèque municipale;36.0;Bibliothèque ouverte au public;12.0;1494.0
Mairie De Gouarec;;;;22570;;Gouarec;22;22064;48.229797, -3.189573;48.2358108068, -3.1953780576;48.229797,-3.189573;6889.0;6889.0;53;Bibliothèque municipale;20.0;Bibliothèque ouverte au public;3.0;928.0
Bibliotheque Municipale;;;;22600;;Hémonstoir;22;22075;48.15723, -2.851873;48.1571543373, -2.84985311411;48.15723,-2.851873;6892.0;6892.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;729.0
Bibliothèque De Kerfot;;;;00000;;Kerfot;22;22086;;48.7371295698, -3.03104722579;48.7371295698,-3.03104722579;6896.0;6896.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;728.0
Bibli@thèque;;;4 Place du j;22400;;Meslin;22;22093;48.468646, -2.495296;48.4684404751, -2.49534815954;48.468646,-2.495296;6926.0;796.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;13935.0
Site de Meslin;;;4 place Du Jumelage;22400;;Lamballe;22;22093;48.445155, -2.568193;48.4684404751, -2.49534815954;48.445155,-2.568193;17578.0;796.0;53;Bibliothèque municipale;1499.0;Bibliothèque ouverte au public;22.5;13935.0
BIBLIOTHEQUE MUNICIPALE;;;Place François Barbu;22490;;LANGROLAY SUR RANCE;22;22103;48.553726, -2.003295;48.5530223296, -2.01383816063;48.553726,-2.003295;797.0;797.0;53;Bibliothèque municipale;100.0;Bibliothèque ouverte au public;3.5;934.0
Bibliothèque de Lanrodec;;;Impasse de la bibliothèque;22170;;Lanrodec;22;22116;48.517357, -3.031577;48.4997744033, -3.04323930161;48.517357,-3.031577;6911.0;6911.0;53;Bibliothèque municipale;110.0;Bibliothèque ouverte au public;9.0;1300.0
Mediatheque Municipale De Laurenan;;;1 rue des la;22230;;Laurenan;22;22122;48.199962, -2.535562;48.214928975, -2.51844644739;48.199962,-2.535562;6915.0;6915.0;53;Bibliothèque municipale;250.0;Bibliothèque ouverte au public;8.0;749.0
Bibliothèque Municipale De Louannec;;Mairie de Louannec;3 route de Perros;22700;;Louannec;22;22134;48.794567, -3.412494;48.784228067, -3.41180213141;48.794567,-3.412494;6919.0;6919.0;53;Bibliothèque municipale;80.0;Bibliothèque ouverte au public;5.0;3200.0
Mediatheque Municipale;;;66 RUE DE CADELAC;22600;;Loudéac;22;22136;48.17608, -2.759651;48.1740293909, -2.75097544378;48.17608,-2.759651;800.0;800.0;53;Bibliothèque municipale;938.0;Bibliothèque ouverte au public;24.5;10015.0
Medialenn;ancienne mairie;;;22160;;Maël-Pestivien;22;22138;48.394064, -3.297796;48.4041439455, -3.29047753101;48.394064,-3.297796;6921.0;6921.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;404.0
Bibliothèque De Le Merzer;;;;00000;;Le Merzer;22;22150;;48.5816215935, -3.07507907802;48.5816215935,-3.07507907802;10083.0;10083.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;1004.0
Bibliothèque municipale;Noyal;mairie;;22400;;Noyal;22;22160;48.451984, -2.46355;48.4508228232, -2.46340477987;48.451984,-2.46355;6930.0;6930.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;921.0
Mediatheque Municipale;;CENTRE HENRI DUNANT;2 RUE HENRI DUNANT;22500;;Paimpol;22;22162;48.781064, -3.049664;48.7733386239, -3.05459397042;48.781064,-3.049664;4540.0;4540.0;53;Bibliothèque municipale;428.0;Bibliothèque ouverte au public;25.0;7525.0
Bibliotheque Municipale;;;7 PLACE DE L'EGLISE;22540;;Pédernec;22;22164;48.59715, -3.270362;48.5880169887, -3.27690620211;48.59715,-3.270362;805.0;805.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;1904.0
Médiathèque Municipale;;CENTRE ANATOLE LE BRAZ;12 PLACE DE L'EGLISE;22710;;Penvénan;22;22166;48.812092, -3.296497;48.816014407, -3.30224745841;48.812092,-3.296497;806.0;806.0;53;Bibliothèque municipale;130.0;Bibliothèque ouverte au public;12.0;2678.0
Bibliothèque Municipale;;;7 rue du 19;22270;;Plédéliac;22;22175;48.448804, -2.387832;48.46875643, -2.37175488421;48.448804,-2.387832;6935.0;6935.0;53;Bibliothèque municipale;184.0;Bibliothèque ouverte au public;10.0;1427.0
Médiathèque de Plélan-le-Petit;SITE DE PLELAN LE PETIT;;Rue RUE de la Janaie;22980;;Plélan-le-Petit;22;22180;48.434776, -2.215582;48.427284639, -2.22409129331;48.434776,-2.215582;811.0;811.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;1943.0
Bibliotheque De Plelauff;;;ROUTE DE MANE PER;22570;;Plélauff;22;22181;48.205624, -3.211607;48.1984075827, -3.20337969883;48.205624,-3.211607;6939.0;6939.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;699.0
Médiathèque;;;2 rue des écoles;22170;;Plélo;22;22182;48.556711, -2.948748;48.5539490397, -2.92735554544;48.556711,-2.948748;6940.0;6940.0;53;Bibliothèque municipale;110.0;Bibliothèque ouverte au public;21.0;3473.0
Bibliothèque De Plerneuf;;;;00000;;Plerneuf;22;22188;;48.5062272479, -2.88034239328;48.5062272479,-2.88034239328;6941.0;6941.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;1051.0
Bibliothèque Municipale De Pleslin-Trigavou;;;rue de la croix boissière;22490;;Pleslin-Trigavou;22;22190;48.528129, -2.080699;48.5279257425, -2.07094753611;48.528129,-2.080699;10148.0;818.0;53;Bibliothèque municipale;120.0;Bibliothèque ouverte au public;11.0;3594.0
Bibliothèque De Plouguernével;;;rue Armand Robin;22110;;Plouguernével;22;22220;48.240315, -3.250909;48.2340717388, -3.24711732443;48.240315,-3.250909;6954.0;6954.0;53;Bibliothèque municipale;40.0;Bibliothèque ouverte au public;1.5;1780.0
Bibliothèque;;;rue Jules Ferry;22310;;Plufur;22;22238;48.607762, -3.575205;48.6108539647, -3.57279775883;48.607762,-3.575205;6963.0;6963.0;53;Bibliothèque municipale;43.0;Bibliothèque ouverte au public;5.0;554.0
Bibliotheque Municipale;;;1 rue de la Mairie;22120;;Pommeret;22;22246;48.462227, -2.625847;48.4585503252, -2.62222031469;48.462227,-2.625847;839.0;839.0;53;Bibliothèque municipale;120.0;Bibliothèque ouverte au public;14.0;2097.0
Ty Levr Bibliothèque De Quemperven;quemperven;rue de la Mairie;12 rue de la mairie;22450;;Quemperven;22;22257;48.724101, -3.322856;48.7254448619, -3.3365775536;48.724101,-3.322856;6971.0;6971.0;53;Bibliothèque municipale;70.0;Bibliothèque ouverte au public;7.0;395.0
Bibliothèque Municipale;Mairie;;;22300;;Rospez;22;22265;48.72875, -3.384602;48.7363664722, -3.38603599093;48.72875,-3.384602;6975.0;6975.0;53;Bibliothèque municipale;26.0;Bibliothèque ouverte au public;1.3;1808.0
Bibliothèque De Runan;;;;00000;;Runan;22;22269;;48.6867514768, -3.22734590799;48.6867514768,-3.22734590799;6976.0;6976.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;235.0
Mémo;;;44 rue du 71è R.I.;22000;;Saint-Brieuc;22;22278;48.51111, -2.761852;48.5149806053, -2.76154552773;48.51111,-2.761852;17620.0;850.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;47166.0
Bibliotheque Municipale;;;PLACE CHARLES PICOT;22150;;Saint-Carreuc;22;22281;48.397869, -2.730485;48.4036055637, -2.7500378807;48.397869,-2.730485;6981.0;6981.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;1540.0
Bibliothèque De St Clet;;;. Rue de L'Argoat;22260;;Saint-Clet;22;22283;48.66299, -3.133462;48.6699370955, -3.13667326185;48.66299,-3.133462;6983.0;6983.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;903.0
Médiathèque Municipale Le Trait D'union;;;rue sainte ann;22940;;Saint-Julien;22;22307;48.452425, -2.817969;48.4480990562, -2.81685604656;48.452425,-2.817969;6994.0;6994.0;53;Bibliothèque municipale;504.0;Bibliothèque ouverte au public;12.0;2103.0
Bibliothèque Municipale;;Le bourg;1 chemin De La Mare Verte;22630;;Saint-Juvat;22;22308;48.353733, -2.044704;48.3619921147, -2.05476636465;48.353733,-2.044704;6995.0;6995.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;671.0
Bibliotheque;;;;22200;;Squiffiec;22;22338;48.626293, -3.15429;48.6379229078, -3.16710907614;48.626293,-3.15429;847.0;847.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;818.0
Bibliothèque Pour Tous;TREDARZEC;Mairie;le bourg;22220;;Trédarzec;22;22347;48.787295, -3.199331;48.7908718928, -3.20159345047;48.787295,-3.199331;7006.0;7006.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;1128.0
Bibliothèque  de Trédrez Locquémeau;;;route du Port;22300;;Trédrez-Locquémeau;22;22349;48.722627, -3.575593;48.7075368111, -3.56441252563;48.722627,-3.575593;7007.0;7007.0;53;Bibliothèque municipale;100.0;Bibliothèque ouverte au public;6.0;1494.0
Bibliothèque De Tréduder;;Mairie;;22310;;Tréduder;22;22350;48.64956, -3.562881;48.6542493069, -3.56641535268;48.64956,-3.562881;7008.0;7008.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;205.0
Mairie De Tremargat;;;1 RUE BELLES;22110;;TREMARGAT;22;22365;48.332105, -3.267511;48.3299865723, -3.26674956087;48.332105,-3.267511;7013.0;7013.0;53;Bibliothèque municipale;18.0;Bibliothèque ouverte au public;17.5;207.0
Bibliothèque De Trémel;;La Poste;7 rue de l'Argoat;22310;;Trémel;22;22366;48.602259, -3.610315;48.6047752602, -3.61826523039;48.602259,-3.610315;7014.0;7014.0;53;Bibliothèque municipale;;Bibliothèque ouverte au public;;438.0
médiathèque ''graine de culture'';;;rue des éc;22440;;Trémuson;22;22372;48.524077, -2.847088;48.5248190208, -2.84790774522;48.524077,-2.847088;17533.0;856.0;53;Bibliothèque municipale;200.0;Bibliothèque ouverte au public;15.5;2057.0
Bibliotheque;;Rue des Patriotes;1 rue des Patriotes;22290;;Trévérec;22;22378;48.656341, -3.058112;48.659497706, -3.05457326642;48.656341,-3.058112;7018.0;7018.0;53;Bibliothèque municipale;20.0;Bibliothèque ouverte au public;1.5;230.0
Bibliothèque municipale;Mairie;;1 place de l Mairie;23100;;LA COURTINE;23;23067;45.698929, 2.263056;45.7301505844, 2.24382828385;45.698929,2.263056;14184.0;14184.0;75;Bibliothèque municipale;57.0;Bibliothèque ouverte au public;4.0;717.0
Bibliothèque Municipale;;;2 Parc Benjamin Bord;23800;;DUN LE PALESTEL;23;23075;46.305681, 1.672827;46.3032821577, 1.66218300041;46.305681,1.672827;13165.0;13165.0;75;Bibliothèque municipale;150.0;Bibliothèque ouverte au public;15.0;1150.0
DIRECTION DE LA LECTURE PUBLIQUE;BIBLIOTHEQUE DEPARTEMENTALE DE LA CREUSE;;rue des Lilas;23006;;GUERET;23;23096;;46.1632121428, 1.87078672735;46.1632121428,1.87078672735;867.0;867.0;75;Bibliothèque départementale;;Bibliothèque ouverte au public;;14236.0
Bibliothèque municipale;Mairie;;route de Bosmoreau-les-Mines;23250;;Janaillat;23;23099;46.055817, 1.74489;46.0480658385, 1.77462877291;46.055817,1.74489;13526.0;13526.0;75;Bibliothèque municipale;37.0;Bibliothèque ouverte au public;3.0;345.0
Bibliothèque de Lépaud;Agence postale;;30 Grande rue;23170;;LEPAUD;23;23106;46.239719, 2.386737;46.2313447495, 2.38424161518;46.239719,2.386737;13527.0;862.0;75;Bibliothèque municipale;20.0;Bibliothèque ouverte au public;15.0;380.0
Bibliothèque Municipale;;;1 Place de la République;23190;;Lupersat;23;23113;45.985172, 2.354745;45.9899835422, 2.35823852546;45.985172,2.354745;13170.0;13170.0;75;Bibliothèque municipale;56.0;Bibliothèque ouverte au public;5.0;327.0
Bibliothèque municipale;Mairie;;Le Bourg;23260;;Magnat-l'Étrange;23;23115;45.819356, 2.287254;45.795032018, 2.26882619571;45.819356,2.287254;13581.0;13581.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;12.5;230.0
Bibliothèque de Mazeirat;Mairie;;Le Bourg;23150;;Mazeirat;23;23128;46.135944, 2.004874;46.1381078382, 1.98735515173;46.135944,2.004874;13584.0;866.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;146.0
Bibliothèque municipale;Ecole;;1 rue des Ecoles;23420;;Mérinchal;23;23131;45.915953, 2.487011;45.9084057409, 2.49421673584;45.915953,2.487011;13588.0;13588.0;75;Bibliothèque municipale;50.0;Bibliothèque ouverte au public;2.0;772.0
Bibliothèque municipale;Mairie;;9 rue du Marbre;23270;;Roches;23;23162;46.282186, 2.001647;46.2810003098, 1.99050170917;46.282186,2.001647;13602.0;13602.0;75;Bibliothèque municipale;30.0;Bibliothèque ouverte au public;12.0;372.0
Bibliothèque municipale;Agence postale;;rue des Acacias;23600;;Soumans;23;23174;46.301312, 2.306003;46.3041417254, 2.33116198481;46.301312,2.306003;13624.0;13624.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;637.0
Médiathèque intercommunale;RENE CHATREIX;;6 PLACE SAINT JACQUES;23300;;LA SOUTERRAINE;23;23176;46.236572, 1.486137;46.2366579943, 1.47591088913;46.236572,1.486137;868.0;868.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;5575.0
Bibliothèque de Sainte Feyre;Mairie;;Le Bourg;23000;;Sainte-Feyre;23;23193;46.15274, 1.898497;46.1570987846, 1.91328237303;46.15274,1.898497;13178.0;866.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;2588.0
Bibliothèque de Saint Fiel;Mairie;;2 Route du Grand Moulin;23000;;SAINT FIEL;23;23195;46.216956, 1.891878;46.2132149531, 1.89527202748;46.216956,1.891878;13516.0;866.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;1069.0
Bibliothèque municipale;;;14 rue de la Mairie;23200;;Saint-Martial-le-Mont;23;23214;;46.0501750563, 2.09062935629;46.0501750563,2.09062935629;13610.0;13610.0;75;Bibliothèque municipale;50.0;Bibliothèque ouverte au public;4.0;249.0
Bibliothèque municipale;Mairie;;Le Bourg;23480;;Saint-Michel-de-Veisse;23;23222;45.955697, 2.055312;45.9536199326, 2.05002532305;45.955697,2.055312;13544.0;13544.0;75;Bibliothèque municipale;40.0;Bibliothèque ouverte au public;4.0;170.0
Bibliothèque municipale;Agence postale;;9 Place de l'Eglise;23400;;Saint-Moreil;23;23223;45.853243, 1.689607;45.8603059195, 1.69391361996;45.853243,1.689607;13614.0;13614.0;75;Bibliothèque municipale;15.0;Bibliothèque ouverte au public;17.5;229.0
Bibliothèque municipale;Mairie;;;23430;;Saint-Pierre-Chérignat;23;23230;45.97193, 1.612913;45.9598091677, 1.61399219926;45.97193,1.612913;13615.0;13615.0;75;Bibliothèque municipale;15.0;Bibliothèque ouverte au public;2.0;178.0
Bibliothèque de Saint Vaury;;;Rue des Fourjadeaux;23320;;SAINT VAURY;23;23247;46.205233, 1.75561;46.1999085805, 1.74904977519;46.205233,1.75561;13519.0;866.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;1894.0
Bibliothèque municipale Laurent de Graulier;;;10 AVENUE DE LA BEAURONNE;24460;;Agonac;24;24002;45.293848, 0.752518;45.281599202, 0.745318376451;45.293848,0.752518;869.0;869.0;75;Bibliothèque municipale;187.0;Bibliothèque ouverte au public;32.0;1790.0
Aubas;;Mairie;;24290;;Aubas;24;24014;45.078071, 1.19765;45.0793796872, 1.19807010544;45.078071,1.19765;18615.0;18615.0;75;Bibliothèque municipale;34.0;Bibliothèque ouverte au public;6.0;654.0
Mairie;;Le bourg;;24590;;Borrèze;24;24050;44.953935, 1.388256;44.9746545829, 1.39100783698;44.953935,1.388256;4776.0;4776.0;75;Bibliothèque municipale;40.0;Bibliothèque ouverte au public;6.0;357.0
Bibliothèque Municipale;;;Carré Sainte Marcelline;24480;;Le Buisson-de-Cadouin;24;24068;44.8218, 0.922848;44.8209697046, 0.890058168742;44.8218,0.922848;875.0;875.0;75;Bibliothèque municipale;150.0;Bibliothèque ouverte au public;20.0;2054.0
Bibliothèque;;Mairie;LE BOURG;24550;;Campagnac-lès-Quercy;24;24075;44.694779, 1.173559;44.6954132053, 1.17519301119;44.694779,1.173559;4782.0;4782.0;75;Bibliothèque municipale;40.0;Bibliothèque ouverte au public;12.0;289.0
Bibliothèque Municipale;;;Le bourg;24370;;Carlux;24;24081;44.884137, 1.353049;44.8869300675, 1.35986365521;44.884137,1.353049;4783.0;4783.0;75;Bibliothèque municipale;15.0;Bibliothèque ouverte au public;18.0;636.0
Bibliothèque;;Le Thouron;;24250;;Cénac-et-Saint-Julien;24;24091;44.799819, 1.204217;44.7868370138, 1.20346249044;44.799819,1.204217;4788.0;4788.0;75;Bibliothèque municipale;85.0;Bibliothèque ouverte au public;10.0;1231.0
Bibliothèque Municipale;;;6 Rue Aragon Le bourg;24750;;Champcevinel;24;24098;45.215682, 0.726508;45.2212466708, 0.725037549995;45.215682,0.726508;877.0;877.0;75;Bibliothèque municipale;100.0;Bibliothèque ouverte au public;17.0;2933.0
Bibliothèque Municipale;;Le bourg;;24360;;Champniers-et-Reilhac;24;24100;45.672097, 0.730057;45.6717236599, 0.721225907489;45.672097,0.730057;4790.0;4790.0;75;Bibliothèque municipale;12.0;Bibliothèque ouverte au public;1.0;483.0
Bibliothèque;;Le bourg;;24250;;La Chapelle-Aubareil;24;24106;;45.0104993556, 1.18942636109;45.0104993556,1.18942636109;4793.0;4793.0;75;Bibliothèque municipale;50.0;Bibliothèque ouverte au public;8.0;541.0
Bibliothèque De Cornille;;Le bourg;;24750;;Cornille;24;24135;45.250693, 0.784194;45.2457104683, 0.779065971787;45.250693,0.784194;4797.0;4797.0;75;Bibliothèque municipale;36.0;Bibliothèque ouverte au public;8.0;686.0
Bibliothèque;;Le bourg;;24220;;Coux-et-Bigaroque;24;24142;44.833655, 0.972785;44.8481194805, 0.967817151938;44.833655,0.972785;4798.0;4798.0;75;Bibliothèque municipale;60.0;Bibliothèque ouverte au public;8.0;1259.0
Mairie;;Le bourg;;24360;;Etouars;24;24163;45.60152, 0.627712;45.6088582273, 0.615747812595;45.60152,0.627712;4808.0;4808.0;75;Bibliothèque municipale;20.0;Bibliothèque ouverte au public;18.0;152.0
Bibliothèque De La Gonterie Boulouneix;Réseau des bibliothèques du Pays de Champagnac en Périgord;Mairie;;24310;;La Gonterie-Boulouneix;24;24198;45.387171, 0.588272;45.381722826, 0.58447803795;45.387171,0.588272;10149.0;876.0;75;Bibliothèque municipale;727.0;Bibliothèque ouverte au public;21.0;251.0
Réseau intercommunal lecture publique Isle Loue Auvézère;Communauté de communes Isle Loue Auvézère en Périgord;Centrale de Lanouaille;8 rue du Limousin;24270;;Lanouaille;24;24227;45.392111, 1.138595;45.3777105918, 1.13200271217;45.392111,1.138595;4823.0;4823.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;1027.0
Site De Marquay;BIBLIOTHEQUE INTERCOMMUNALE SARLAT PERIGORD NOIR;;Le Bourg;24620;;Marquay;24;24255;44.943435, 1.134514;44.9410957148, 1.12837683704;44.943435,1.134514;4831.0;907.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;581.0
Bibliothèque;;Le bourg;LE BOURG;24220;;Meyrals;24;24268;44.900147, 1.074673;44.9077685753, 1.07031759796;44.900147,1.074673;895.0;895.0;75;Bibliothèque municipale;45.0;Bibliothèque ouverte au public;7.5;633.0
Bibliotheque Charlotte Delbo;;;Place du 8;24110;;Montrem;24;24295;45.145097, 0.580907;45.1310326965, 0.58097170515;45.145097,0.580907;12487.0;12487.0;75;Bibliothèque municipale;80.0;Bibliothèque ouverte au public;4.0;1288.0
Bibliothèque de Mouleydier;;Mairie;6 rue Daude Lagrave;24520;;Mouleydier;24;24296;44.854777, 0.59514;44.8599634791, 0.617224513886;44.854777,0.59514;4845.0;872.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;1169.0
Bibliotheque Municipale Annexe Le Toulon;;;20 RUE FORQUENOT;24000;;Perigueux;24;24322;45.193247, 0.707649;45.1918704873, 0.711825549847;45.193247,0.707649;5476.0;902.0;75;Bibliothèque municipale classée;140.0;Bibliothèque ouverte au public;19.0;31406.0
Bibliothèque;;;54 RUE ONÉSIME RECLUS;33220;;Port-Sainte-Foy-et-Ponchapt;24;24335;44.843304, 0.207541;44.8622535573, 0.208854675888;44.843304,0.207541;4862.0;4862.0;75;Bibliothèque municipale;110.0;Bibliothèque ouverte au public;16.0;2571.0
Bibliothèque De Quinsac;Réseau des bibliothèques du Pays de Champagnac en Périgord;Salle  des  Fêtes;;24530;;Quinsac;24;24346;45.429269, 0.705431;45.4362563574, 0.701396321628;45.429269,0.705431;5047.0;876.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;384.0
Médiathèque Municipale;;;rue Amiral-Courbet;24110;;Saint-Astier;24;24372;45.145547, 0.526305;45.1484357281, 0.519678090961;45.145547,0.526305;909.0;909.0;75;Bibliothèque municipale;210.0;Bibliothèque ouverte au public;28.5;5692.0
Bibliothèque;Espace Christine Bacquet;Mairie;;24150;;Saint-Capraise-de-Lalinde;24;24382;44.841772, 0.653471;44.8463175043, 0.655294285249;44.841772,0.653471;4877.0;4877.0;75;Bibliothèque municipale;50.0;Bibliothèque ouverte au public;2.0;559.0
Bibliothèque;Agence postale;Le bourg;;24260;;Saint-Chamassy;24;24388;44.872439, 0.927054;44.8725532878, 0.921257476514;44.872439,0.927054;4879.0;4879.0;75;Bibliothèque municipale;17.0;Bibliothèque ouverte au public;21.0;539.0
Mairie;;Le bourg;;24330;;Saint-Crépin-d'Auberoche;24;24390;45.12303, 0.889769;45.1177639491, 0.895951381831;45.12303,0.889769;4880.0;4880.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;347.0
Bibliothèque;Agence postale;Le bourg;;24630;;Saint-Estèphe;24;24398;;45.609832852, 0.657993310994;45.609832852,0.657993310994;4883.0;4883.0;75;Bibliothèque municipale;5.0;Bibliothèque ouverte au public;17.0;632.0
Bibliothèque;;Mairie;;24160;;Saint-Jory-las-Bloux;24;24429;45.36132, 0.965063;45.3421390696, 0.9470147152;45.36132,0.965063;4892.0;4892.0;75;Bibliothèque municipale;25.0;Bibliothèque ouverte au public;28.5;247.0
Bibliothèque;;Mairie;;24400;;Saint-Laurent-des-Hommes;24;24436;45.037076, 0.252682;45.0440019083, 0.253242646867;45.037076,0.252682;4896.0;4896.0;75;Bibliothèque municipale;35.0;Bibliothèque ouverte au public;4.0;1040.0
Bibliothèque;;;;24470;;Saint-Saud-Lacoussière;24;24498;45.543229, 0.81866;45.5365082688, 0.839648874583;45.543229,0.81866;7097.0;7097.0;75;Bibliothèque municipale;20.0;Bibliothèque ouverte au public;2.5;857.0
Bibliothèques-Médiathèques;Communauté de communes Sarlat-Périgord Noir;;32 rue de la République;24200;;SARLAT-LA-CANEDA;24;24520;44.88895, 1.215951;44.8983558068, 1.2066486429;44.88895,1.215951;907.0;907.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;9594.0
Site De Tamnies;BIBLIOTHEQUE INTERCOMMUNALE SARLAT PERIGORD NOIR;Mairie;Le Bourg;24620;;TAMNIES;24;24544;44.965614, 1.148803;44.9766760202, 1.14965103627;44.965614,1.148803;4928.0;907.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;391.0
Bibliothèque;;;Avenue Docteur Deysemeries;24610;;Villefranche-de-Lonchat;24;24584;44.948742, 0.055487;44.9555044342, 0.0588917910628;44.948742,0.055487;4940.0;4940.0;75;Bibliothèque municipale;52.0;Bibliothèque ouverte au public;5.0;965.0
Ecole communale;;;;25490;;Allenjoie;25;25011;47.534201, 6.896044;47.5354537745, 6.8931467059;47.534201,6.896044;15326.0;15326.0;27;Bibliothèque municipale;26.0;Bibliothèque ouverte au public;3.5;745.0
Bibliothèque municipale;;;26 C grande rue;25610;;Arc-et-Senans;25;25021;47.033553, 5.783943;47.0351046371, 5.76978366413;47.033553,5.783943;921.0;921.0;27;Bibliothèque municipale;154.0;Bibliothèque ouverte au public;8.0;1662.0
Médiathèque d'Arcey;;;5 Rue de la Neuvelle;25750;;Arcey;25;25022;47.520615, 6.660805;47.5194914432, 6.65186946515;47.520615,6.660805;15171.0;15171.0;27;Bibliothèque municipale;70.0;Bibliothèque ouverte au public;6.0;1481.0
Bibliotheque Municipale;JANUSZ KORCZAK;ESPLANADE DES DROITS ET LIBERTES DE L'HOMME;8 rue du Pui LIBERTES DE L'HOMME;25400;;Audincourt;25;25031;47.47452, 6.842664;47.4811676376, 6.85493983157;47.47452,6.842664;922.0;922.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;14363.0
Bibliothèque;Mairie-Ecole;;1 rue de Rougemont;25680;;Avilley;25;25038;47.426967, 6.267448;47.4289797534, 6.26888707781;47.426967,6.267448;15336.0;15336.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;173.0
Bibliothèque;;;1 ter rue du repos;25690;;Avoudrey;25;25039;47.141321, 6.435006;47.1384879691, 6.43337259012;47.141321,6.435006;16117.0;16117.0;27;Bibliothèque municipale;50.0;Bibliothèque ouverte au public;3.5;910.0
Bibliothèque d'Etude et de Conservation;;;1 RUE DE LA BIBLIOTHEQUE;25000;;Besançon;25;25056;47.23621, 6.027782;47.2553872249, 6.01948696494;47.23621,6.027782;5479.0;927.0;27;Bibliothèque municipale classée;2218.0;Bibliothèque ouverte au public;46.0;120336.0
Bibliobus / Service Biblicité;;;27 RUE DE LA REPUBLIQUE;25000;;Besançon;25;25056;47.240217, 6.027249;47.2553872249, 6.01948696494;47.240217,6.027249;5483.0;927.0;27;Bibliothèque municipale classée;;Bibliothèque ouverte au public;;120336.0
Bilbilothèque de Boujailles;Bibliothèque du réseau intercommunal;Bâtiment de la mairie;1 place de l;25560;;Boujailles;25;25079;46.888436, 6.077968;46.8844605742, 6.07920196701;46.888436,6.077968;17500.0;14012.0;27;Bibliothèque municipale;15.0;Bibliothèque ouverte au public;2.0;424.0
Mairie;;;1 place de l'Eglise;25320;;Byans-sur-Doubs;25;25105;47.115407, 5.858027;47.1129773426, 5.84743903869;47.115407,5.858027;16162.0;16162.0;27;Bibliothèque municipale;50.0;Bibliothèque ouverte au public;4.0;538.0
Mairie;;;3bis grande rue;25330;;Chantrans;25;25120;47.044877, 6.148918;47.0477460774, 6.16353019875;47.044877,6.148918;15182.0;15182.0;27;Bibliothèque municipale;80.0;Bibliothèque ouverte au public;2.0;414.0
Bibliothèque;;;1 place de l'Eglise;25240;;Chapelle-des-Bois;25;25121;46.597754, 6.113759;46.606672007, 6.10775555362;46.597754,6.113759;15347.0;15347.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;275.0
Bibliothèque;;;10 rue du docteur Girard;25650;;La Chaux;25;25139;47.022906, 6.433323;47.0192694963, 6.41470158275;47.022906,6.433323;16484.0;16484.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;505.0
